id_wycieczki,tytul_wycieczki,calosciowy_opis_wycieczki,calosciowa_taktyka_dnia,godzina_pobudki,szacowany_czas_ogarniania_rano,krok_wycieczki,numer_miejsca,nazwa,wspolrzedne,okienko_zwiedzania,godzina_ewakuacji,czerwona_strefa_ostrzezenie,strefa_luzu_i_regeneracji,podsumowanie_taktyki,rodzaj_posilku,godzina_posilku,nazwa_posilku
9,Mity i Oceaniczne Głębiny - kopia: Pałac w Knossos & Cretaquarium,Wyprawa łącząca mityczną historię starożytnej Krety w Knossos z klimatyzowanym podwodnym światem Cretaquarium oraz eksponatami Muzeum Archeologicznego.,"Spieszymy się rano w Knossos przed słońcem i autokarami, potem chłodzimy się i wyciszamy zmysły w mrocznym akwarium, a na koniec szybko oglądamy złote pszczoły w klimatyzowanym muzeum.",04:40,0.5h,1,1,Pałac w Knossos,"35.29805, 25.16278",08:00 - 09:30,09:30 (upał i tłum),Ewakuacja przed 10:00! Słońce i fale autokarów tworzą ekstremalne przebodźcowanie.,Zacieniony skwer przy wyjściu.,"Szybkie zwiedzanie w chłodzie rano, bez przemęczania dzieci.",lunchbox_maly,08:00 - 09:30,Mały lunchbox
9,Mity i Oceaniczne Głębiny - kopia: Pałac w Knossos & Cretaquarium,Wyprawa łącząca mityczną historię starożytnej Krety w Knossos z klimatyzowanym podwodnym światem Cretaquarium oraz eksponatami Muzeum Archeologicznego.,"Spieszymy się rano w Knossos przed słońcem i autokarami, potem chłodzimy się i wyciszamy zmysły w mrocznym akwarium, a na koniec szybko oglądamy złote pszczoły w klimatyzowanym muzeum.",04:40,0.5h,2,2,Cretaquarium,"35.33256, 25.28254",09:55 - 11:25,11:25 (czas na obiad),Hałas i echo w halach - założyć dzieciom słuchawki wygłuszające.,Zacieniony ogród tawerny przy plaży Gournes ze świeżą bryzą.,Podwodne wyciszenie w klimatyzowanym półmroku oraz spokojny obiad nad morzem.,lunchbox_maly,09:55 - 11:25,Mały lunchbox
9,Mity i Oceaniczne Głębiny - kopia: Pałac w Knossos & Cretaquarium,Wyprawa łącząca mityczną historię starożytnej Krety w Knossos z klimatyzowanym podwodnym światem Cretaquarium oraz eksponatami Muzeum Archeologicznego.,"Spieszymy się rano w Knossos przed słońcem i autokarami, potem chłodzimy się i wyciszamy zmysły w mrocznym akwarium, a na koniec szybko oglądamy złote pszczoły w klimatyzowanym muzeum.",04:40,0.5h,3,4,Muzeum Archeologiczne w Heraklionie,"35.33924, 25.13702",11:45 - 12:40,12:40 (czas na powrót),"Długie zwiedzanie (ponad 45 min) grozi znużeniem. Szybki, celowy spacer po najważniejszych salach minojskich.",Zacieniony skwer przy muzeum lub klimatyzowane lobby.,Ekspresowa i celowa wizyta w klimatyzowanym muzeum pod kątem minojskich skarbów.,,,
9,Mity i Oceaniczne Głębiny - kopia: Pałac w Knossos & Cretaquarium,Wyprawa łącząca mityczną historię starożytnej Krety w Knossos z klimatyzowanym podwodnym światem Cretaquarium oraz eksponatami Muzeum Archeologicznego.,"Spieszymy się rano w Knossos przed słońcem i autokarami, potem chłodzimy się i wyciszamy zmysły w mrocznym akwarium, a na koniec szybko oglądamy złote pszczoły w klimatyzowanym muzeum.",04:40,0.5h,4,46,Powrót do domku,"35.59125, 24.09555",15:35 - 18:35,-,Brak,"Bezpieczna, łagodna zatoka Stavros – pełny reset po powrocie.","Spokojna sjesta, plaża i domowa kolacja w Stavros.",kolacja,16:05,Kolacja
10,Bujny Ogród Botaniczny Krety & Ekologiczna Farma Arevitis - kopia,"Przyrodnicza, niespieszna wycieczka alejkami Ogrodu Botanicznego połączona ze zwierzętami i ekologicznym obiadkiem agroturystycznym.","Rano niespiesznie spacerujemy w chłodzie ogrodu botanicznego pośród zapachów i pawi, a potem uciekamy przed słońcem na bezpieczną, zieloną farmę na ekologiczny, swojski obiad.",08:30,0.5h,0,46,Wyjazd z domku,"35.59125, 24.09555",08:30 - 09:00,-,Sprawdzić czy wszystko spakowane przed zamknięciem drzwi,Klimatyzowany samochód – spokojna jazda bez pośpiechu,Spakowanie auta i wyjazd o deadline,śniadanie,08:30,Śniadanie
10,Bujny Ogród Botaniczny Krety & Ekologiczna Farma Arevitis - kopia,"Przyrodnicza, niespieszna wycieczka alejkami Ogrodu Botanicznego połączona ze zwierzętami i ekologicznym obiadkiem agroturystycznym.","Rano niespiesznie spacerujemy w chłodzie ogrodu botanicznego pośród zapachów i pawi, a potem uciekamy przed słońcem na bezpieczną, zieloną farmę na ekologiczny, swojski obiad.",08:30,0.5h,1,5,Botanical Garden of Crete,"35.41829, 23.93922",09:45 - 11:45,11:45 (upał na dolnych ścieżkach),Podejścia pod górę - robić krótkie przystanki.,Zacieniona altana przy stawie z łabędziami.,Spacer pośród zapachów śródziemnomorskich roślin.,lunchbox_maly,09:45 - 11:45,Mały lunchbox
10,Bujny Ogród Botaniczny Krety & Ekologiczna Farma Arevitis - kopia,"Przyrodnicza, niespieszna wycieczka alejkami Ogrodu Botanicznego połączona ze zwierzętami i ekologicznym obiadkiem agroturystycznym.","Rano niespiesznie spacerujemy w chłodzie ogrodu botanicznego pośród zapachów i pawi, a potem uciekamy przed słońcem na bezpieczną, zieloną farmę na ekologiczny, swojski obiad.",08:30,0.5h,2,9,Arevitis Farm (Wizytacja),"35.40530, 23.92120",11:55 - 14:10,14:10 (powrót na sjestę),Brak.,"Cichy, wiejski ogród agroturystyczny.",Ekologiczny obiad i wyciszający kontakt ze zwierzętami.,lunchbox_maly,11:55 - 14:10,Mały lunchbox
10,Bujny Ogród Botaniczny Krety & Ekologiczna Farma Arevitis - kopia,"Przyrodnicza, niespieszna wycieczka alejkami Ogrodu Botanicznego połączona ze zwierzętami i ekologicznym obiadkiem agroturystycznym.","Rano niespiesznie spacerujemy w chłodzie ogrodu botanicznego pośród zapachów i pawi, a potem uciekamy przed słońcem na bezpieczną, zieloną farmę na ekologiczny, swojski obiad.",08:30,0.5h,3,46,Powrót do domku,"35.59125, 24.09555",15:05 - 18:20,-,Brak,Zatoka Stavros.,Popołudniowe wyciszenie i bezpieczny odpoczynek.,kolacja,15:35,Kolacja
11,Monastyr Agia Triada & Rynek w Chanii,Zwiedzanie Monastyru Agia Triada i zakupy na rynku w Chanii.,"Wczesny start, aby uniknąć upału. Monastyr zapewnia cień. Rynek odwiedzamy przed 12:00, aby uniknąć tłumów i skwaru. Obiad w domku po powrocie.",08:30,0.5h,0,,Nasz Domek (Start),"35.5914, 24.0918",08:30 - 09:00,,,,,śniadanie,08:30,Śniadanie
11,Monastyr Agia Triada & Rynek w Chanii,Zwiedzanie Monastyru Agia Triada i zakupy na rynku w Chanii.,"Wczesny start, aby uniknąć upału. Monastyr zapewnia cień. Rynek odwiedzamy przed 12:00, aby uniknąć tłumów i skwaru. Obiad w domku po powrocie.",08:30,0.5h,1,59,Monastyr Agia Triada,"35.5486, 24.1364",09:15 - 10:45,,,,Spokojny spacer w cieniu arkad.,,,
11,Monastyr Agia Triada & Rynek w Chanii,Zwiedzanie Monastyru Agia Triada i zakupy na rynku w Chanii.,"Wczesny start, aby uniknąć upału. Monastyr zapewnia cień. Rynek odwiedzamy przed 12:00, aby uniknąć tłumów i skwaru. Obiad w domku po powrocie.",08:30,0.5h,2,,Rynek w Chanii,"35.586222, 24.091861",11:00 - 11:45,,,,Szybkie zakupy świeżych produktów przed szczytem upału.,,,
11,Monastyr Agia Triada & Rynek w Chanii,Zwiedzanie Monastyru Agia Triada i zakupy na rynku w Chanii.,"Wczesny start, aby uniknąć upału. Monastyr zapewnia cień. Rynek odwiedzamy przed 12:00, aby uniknąć tłumów i skwaru. Obiad w domku po powrocie.",08:30,0.5h,3,,Nasz Domek (Powrót),"35.5914, 24.0918",11:55 - 12:55,,,,,obiad,12:25,Obiad w domku po powrocie z wycieczki.
