numer miejsca,nazwa,nazwa angielska,Opis,współrzędne,typ,czas dojazdu ze Stavros,godziny otwarcia,najlepsza pora zwiedzania,orientacyjny czas zwiedzania,koszt zwiedzania dla rodziny 2+2,Konieczna akcja,Zaplecze gastronomiczne,Ile jedzenia,Poziom trudności ADHD,Potencjał meltdownu,Strategie na meltdown,Ochrona przed słońcem,Najlepiej połączyć z,Zadania dla dzieci
25,Muzeum i Stanowisko Eleutherna,Eleutherna Archaeological Museum,"Nowoczesne muzeum archeologiczne, będące pierwszym muzeum na stanowisku badawczym na Krecie, prezentujące sekrety antycznego miasta i jego powiązania z eposami Homera.","35.3235, 24.6789",others,1 godz. 30 min,10:00 - 18:00 (wtorki zamknięte),popołudnie (klimatyzowane sale chronią przed słońcem),1 - 2 godziny,"20 EUR (dorośli: 2x10 EUR, dzieci bezpłatnie)",Brak.,"Brak restauracji w samym nowoczesnym budynku muzeum, ale w sąsiednich wioskach (np. Margarites czy Eleftherna) znajduje się wiele tradycyjnych tawern.","Średnio (Warto coś spakować) - Weź owoce, musy i małe kanapki do auta. Na miejscu nie ma pełnej restauracji, więc dzieci mogą zgłodnieć podczas zwiedzania przed właściwym obiadem.","Trudne - Kolejne tradycyjne muzeum wymagające spokoju i ciszy, oddalone od głównych tras. Wskazówki: Zaplanuj bardzo krótką wizytę (do 30 min), skup się tylko na najciekawszych eksponatach (np. biżuterii, dawnej broni).","Wysoki - Dzieci: Dojazd (1.5 h) buduje napięcie. Tradycyjna, zamknięta i cicha przestrzeń muzealna z zakazem dotykania obiektów szybko frustruje ruchliwe dzieci. Rodzice: Zmęczenie trasą i presja kosztów (20 EUR) w połączeniu ze społecznym naciskiem na zachowanie ciszy w muzeum drastycznie podnoszą poziom stresu.","Ograniczcie wizytę w nowoczesnym, cichym muzeum do 20-30 minut. Użyjcie słuchawek wygłuszających, aby wyeliminować irytujący pogłos (echo). Po wizycie pojedźcie do pobliskiej wioski Margarites, gdzie dzieci mogą biegać i obserwować gliniane warsztaty garncarskie.","Cień (Wewnątrz). Nowoczesny, klimatyzowany budynek muzeum zapewnia doskonałą ochronę przed słońcem.",Maravel Garden (Miejsce 29) lub Dourakis Winery (Miejsce 38) - świetne połączenie archeologii z przyrodą w ogrodzie botanicznym Spili lub relaksem w winnicy.,1. Odszukaj tarczę wojownika z brązu i dotknij jej nowoczesnej kopii stworzonej specjalnie do poznawania dotykiem. 2. Znajdź w gablotach starożytne zabawki dziecięce i porównaj je ze swoimi zabawkami. 3. Spróbuj odnaleźć złote ozdoby w kształcie miniaturowych owadów lub kwiatów.
26,Monastyr Agia Triada Tzagaroli,Holy Trinity Tzagaroli Monastery,"XVII-wieczny wenecko-byzantyjski monastyr na półwyspie Akrotiri, słynący z zachwycającej architektury, spokojnych dziedzińców ogrodowych oraz produkcji ekologicznego wina i oliwy.","35.4656, 24.1248",others,15 min,od wschodu do zachodu słońca,późne popołudnie,1 - 1.5 godziny,"4 EUR (dorośli: 2x2 EUR, dzieci bezpłatnie)",Brak.,"Brak restauracji na terenie klasztoru. Mnisi prowadzą sklep z własnymi ekologicznymi wyrobami (wino, oliwa, miód, ocet), a najbliższe tawerny są w drodze na Akrotiri.","Mało (Lokalny lunch) - Weź kilka drobnych przekąsek na drogę w aucie i wodę. Główny, pyszny posiłek zjecie na miejscu w tawernie.","Średnie - Klasztor wymaga wyciszenia, odpowiedniego ubioru i spokojnego zachowania. Jednak piękne ogrody i dziedzińce działają bardzo kojąco sensorycznie. Wskazówki: Przed wejściem wyjaśnij dzieciom zasadę 'mówimy szeptem', zachęć do wąchania kwiatów w ogrodzie.","Średni - Dzieci: Bardzo blisko bazy (15 min). Piękne ogrody z kotami działają kojąco, ale wymóg ciszy i odpowiedniego ubioru w klasztorze ogranicza spontaniczność dziecka z ADHD. Rodzice: Niski koszt (4 EUR), minimalna jazda i bardzo ułatwiona, szybka ewakuacja dają rodzicom duże poczucie kontroli.","Przejażdżka urokliwym klasztorem wymaga wyciszenia, ale tutejsze ogrody i dziedziniec z kotami działają kojąco na dzieci AuDHD. Krótki dojazd (15 min) ułatwia powrót. W razie trudności z zachowaniem ciszy w świątyni, spędźcie czas na zewnątrz na pięknym, zacienionym dziedzińcu.","Półcień / Cień. Przepiękny, zadbany dziedziniec klasztorny oferuje zacienione arkady, a wnętrze zabytkowej cerkwi daje przyjemny chłód i cień.","Plaża w Stavros (Miejsce 45), Plaża Tersanas (Miejsce 46), Plaża Kalathas (Miejsce 43) - monastyr leży w sercu półwyspu Akrotiri, zaledwie kilka minut od Waszych najbliższych plaż.",1. Przejdź przez zielony labirynt cyprysów i oliwek w przyklasztornym ogrodzie. 2. Policz wszystkie koty leniwie wygrzewające się na klasztornym dziedzińcu. 3. Znajdź starożytne dzwony zawieszone wysoko na wieży.
27,The Little Fun Train - Agioi Apostoloi,The Little Fun Train - Agioi Apostoloi,"Zadaszona kolejka turystyczna oferująca atrakcyjne i bezstresowe przejażdżki po nadmorskich kurortach (Agia Marina, Platanias) i malowniczych, zielonych wioskach w rejonie Chanii.","35.5105, 23.9825",activity,30 min,według rozkładu (zazwyczaj 9:00 - 18:00 w sezonie),przedpołudnie,1 - 1.5 godziny (czas przejażdżki),"ok. 50-64 EUR (przejażdżka ciuchcią: dorośli ok. 15-20 EUR, dzieci ok. 10-12 EUR)","Zalecany zakup biletów online z wyprzedzeniem w sezonie letnim, aby zagwarantować sobie miejsce.","Tak, trasa kolejki przebiega przez Agia Marina, Platanias i Agioi Apostoloi, gdzie znajduje się ogromny wybór wszelkiego rodzaju restauracji i tawern.",Bardzo mało / Nic (Bezstresowo) - Weź tylko butelkę wody dla dzieci na sam spacer. Wszystko kupicie na miejscu w rozsądnych cenach.,"Średnie - Jazda pociągiem turystycznym jest bardzo atrakcyjna i sensorycznie ciekawa (ruch, wiatr, widoki), jednak wymaga dłuższego siedzenia w jednym miejscu (ok. 1-2h) i czekania na odjazd. Wskazówki: Zabierz drobne zabawki sensoryczne (fidgety) do rąk na czas jazdy, uprzedź dziecko o trasie i czasie jej trwania.","Średni - Dzieci: Przejażdżka pociągiem jest bardzo atrakcyjna sensorycznie, ale konieczność dłuższego siedzenia w jednym miejscu (ok. 1.5 h) może wywołać niepokój ruchowy u dziecka z ADHD. Rodzice: Dość wysoki koszt (ok. 50-64 EUR) stwarza presję, by dzieci 'dobrze się bawiły' i nie marudziły podczas jazdy.","Jazda pociągiem jest bardzo atrakcyjna i dostarcza dzieciom świetnych bodźców przedsionkowych (ruch, pęd powietrza). Przygotujcie małe zabawki sensoryczne (fidgety) do rąk na czas jazdy. Uprzedźcie dzieci o czasie trwania trasy i trzymajcie pod ręką wodę.","Półcień. Wagoniki kolejki turystycznej posiadają zadaszenie chroniące przed słońcem, jednak boki są otwarte.","Mniejsza z plaż Agioi Apostoloi (Miejsce 47), Plaża miejska Nea Chora (Miejsce 44) - stacja kolejki znajduje się tuż przy plaży Agioi Apostoloi; to gotowy, bezstresowy zestaw zabawowy dla dzieci.","1. Pomachaj wszystkim przechodniom, których miniecie podczas jazdy pociągiem (policz, ile osób Ci odmacha!). 2. Słuchaj uważnie dzwonka pociągu i klaśnij w dłonie za każdym razem, gdy zadzwoni. 3. Wypatruj przez okno drzew oliwnych i pomarańczowych – kto pierwszy zobaczy owoc?"
28,Rejs łodzią półpodwodną,Semi-submarine boat trip,"Punkt startowy rejsów łodzią półpodwodną Sea Adventures w weneckim porcie w Chanii, pozwalający obserwować dno morza, ryby i żółwie Caretta caretta przez duże szklane okna.","35.5178, 24.0195",activity,25 min,9:00 - 22:00,popołudnie (rezerwacja rejsów),15 - 30 min,"ok. 70-80 EUR (rejs 35 min półpodwodną łodzią: dorośli 22-25 EUR, dzieci 12-15 EUR)",Rekomendowana wcześniejsza rezerwacja rejsu (łódź półpodwodna zabiera maksymalnie 12 osób).,"Adres w porcie w Chanii – otoczony niezliczonymi restauracjami, kawiarniami portowymi i barami.",Bardzo mało / Nic (Bezstresowo) - Weź tylko butelkę wody dla dzieci na sam spacer. Wszystko kupicie na miejscu w rozsądnych cenach.,"Średnie - Rejs łodzią półpodwodną. Ciekawe doświadczenie patrzenia przez szyby pod wodą, ale kabina jest mała, zamknięta i klimatyzowana (może wywołać lekki niepokój u dzieci z AuDHD). Wskazówki: Przygotuj dziecko wcześniej pokazując zdjęcia łodzi, w razie niepokoju wyjdźcie na pokład górny na świeże powietrze.","Średni do Wysoki - Dzieci: Krótki dojazd (25 min). Rejs półpodwodną łodzią jest fascynujący, ale ciasna, duszna kabina pod wodą i hałas silnika mogą wywołać meltdown związany z ciasną przestrzenią u dziecka AuDHD. Rodzice: Bardzo wysoki koszt (ok. 66-90 EUR) buduje ogromną presję finansową na udaną wycieczkę.","Ciekawe doświadczenie patrzenia pod wodę, ale mała, przeszklona kabina może wywołać niepokój związany z ciasną przestrzenią u dziecka AuDHD. Pokażcie dzieciom zdjęcia łodzi przed rejsu. W razie narastającego lęku lub hałasu silnika natychmiast wyjdźcie na otwarty pokład górny na świeże powietrze.","Półcień. Pokład górny łodzi jest nasłoneczniony, natomiast dolna, przeszklona kabina pod poziomem wody jest całkowicie zacieniona i klimatyzowana.","Muzeum Archeologiczne w ... (Miejsce 4), Ledergasse Chania (Miejsce 33), Plaża miejska Nea Chora (Miejsce 44) - rejs łodzią podwodną startuje w porcie w Chanii, skąd pieszo dotrzecie do muzeów i sklepów.","1. Zejdź pod pokład i spójrz przez wielkie okna – wypatruj ogromnych żółwi morskich Caretta caretta. 2. Policz, ile rybek płynie tuż za oknem naszej łodzi podwodnej. 3. Spójrz na Chanię z pokładu i znajdź słynną wenecką latarnię morską."
29,mill.o.petres,mill.o.petres,"Zabytkowa, rzemieślnicza oliwiarnia w wiosce Kalyves, oferująca edukacyjne zwiedzanie tradycyjnego młyna oliwnego z 1962 r. oraz kreatywne warsztaty produkcji naturalnego mydła.","35.4741, 24.1132",activity,35 min,10:00 - 18:00,popołudnie (warsztaty mydlarskie i zwiedzanie),1.5 - 2 godziny,0 EUR wstęp wolny (warsztaty kulinarne/mydlarskie ok. 15-25 EUR za osobę/zestaw),Wymagana wcześniejsza rezerwacja w przypadku chęci udziału w warsztatach wyrobu mydła lub warsztatach kulinarnych.,"Oliwiarnia nie prowadzi restauracji, ale oferuje degustację wybitnej oliwy i lokalnych produktów. Pełne zaplecze restauracyjne znajduje się w Kalyves.","Mało (Lokalny lunch) - Weź kilka drobnych przekąsek na drogę w aucie i wodę. Główny, pyszny posiłek zjecie na miejscu w tawernie.","Średnie - Warsztaty wymagają skupienia i precyzji, co może frustrować młodsze dzieci z ADHD. Jednak praca z zapachami i masami kosmetycznymi to świetne doświadczenie sensoryczne. Wskazówki: Pomagaj młodszemu dziecku przy trudniejszych etapach, nie naciskaj na idealne wykonanie.","Średni - Dzieci: Dojazd (40 min) jest łatwy. Sensoryka warsztatów mydlarskich (zapachy, konsystencja) jest bardzo ciekawa, ale wymaga precyzji i cierpliwości, co może frustrować młodsze dzieci z ADHD. Rodzice: Brak opłaty za wstęp (0 EUR), kameralna atmosfera bez tłumów i przyjaźni gospodarze dają duże poczucie komfortu psychicznego.","Tradycyjne warsztaty rzemieślnicze mogą wymagać dłuższego skupienia i precyzji. Pozwólcie dzieciom badać tekstury i zapachy bazy mydlanej, olejków i ziół we własnym tempie, unikając sztywnych poleceń i pośpiechu.","Cień (Wewnątrz) / Półcień. Warsztaty odbywają się w zabytkowym, chłodnym budynku lub na zacienionym, tradycyjnym patio.","Ancient Aptera (Miejsce 7), Stemfilo Winery Paterakis (Miejsce 41) - warsztaty mydlarskie idealnie współgrają ze zwiedzaniem pobliskiej Aptery.","1. Powąchaj różne olejki eteryczne (np. lawendowy, rozmarynowy) i wybierz swój ulubiony zapach. 2. Dotknij bazy do produkcji mydła – opisz rodzicom, czy jest gładka, twarda czy śliska. 3. Stwórz swoje własne, unikalne mydełko z płatkami kwiatów."
30,Maravel Garden,Maravel Garden,"Prywatny ogród sensoryczny z ziołami i labiryntem roślin w pobliżu Spili, doskonałe miejsce na integrację sensoryczną dzieci poprzez wąchanie i dotykanie ziół.","35.2541, 24.5615",shop,1 godz. 30 min,9:00 - 18:00,rano lub popołudnie (jako przystanek w drodze na południe),1 - 1.5 godziny,0 EUR wstęp wolny (opcjonalne zakupy ziół/herbat ok. 10-20 EUR),Brak (wcześniejsze zgłoszenie konieczne tylko w przypadku chęci wzięcia udziału w zorganizowanych warsztatach).,"Brak restauracji na miejscu, ale ogród leży blisko malowniczej wioski Spili, gdzie znajduje się urokliwy kafenion Raftis oraz inne restauracje.","Średnio (Warto coś spakować) - Weź owoce, musy i małe kanapki do auta. Na miejscu nie ma pełnej restauracji, więc dzieci mogą zgłodnieć podczas zwiedzania przed właściwym obiadem.",Łatwe - Ogród z ziołami i labiryntem roślin. Zapachy i tekstury roślin działają kojąco i regulująco (świetna integracja sensoryczna).,"Niski - Dzieci: Dojazd (1.5 h) jest długi, ale sensoryczny labirynt ziół, zapachów i tekstur działa niezwykle regulująco i uspokajająco na dzieci AuDHD. Rodzice: Bezpłatny wstęp (0 EUR) i głęboki spokój naturalnego ogrodu pomagają wyciszyć przemęczenie hałasem i nadmiarem wrażeń układ nerwowy rodziców.","Doskonałe miejsce na wyciszenie zmysłów. Zapachy ziół i dotykanie różnorodnych liści roślin działają niesamowicie regulująco na układ nerwowy. Przejście przez roślinny labirynt to świetna, angażująca i spokojna zabawa ruchowa dla dzieci.","Półcień / Cień. Ogrody ziołowe mają zacienione ścieżki i pergole, a budynek sklepu jest w pełni zacieniony.","Eleutherna Archaeological M... (Miejsce 24), Agios Antonios (Miejsce 20) - ogród botaniczny w Spili idealnie łączy się z innymi atrakcjami wschodniego rejonu.","1. Przejdź się po ogrodzie ziołowym i znajdź roślinę, która pachnie jak pizza (oregano!). 2. Policz kolory kwiatów rosnących w ogrodzie – spróbuj znaleźć chociaż jeden fioletowy i jeden żółty. 3. Powąchaj naturalne mydełka w sklepie i spróbuj zgadnąć, z jakich roślin powstały."
31,Lappa Avocado,Lappa Avocado,"Uroczy sklepik rzemieślniczy w Argyroupoli, specjalizujący się w produkcji i sprzedaży naturalnych, ekologicznych kosmetyków na bazie lokalnie uprawianego awokado.","35.2866, 24.3338",shop,1 godz. 10 min,9:00 - 20:00 (w sezonie),przy okazji wizyty w Argyroupoli,30 min,0 EUR wstęp wolny (opcjonalne kosmetyki z awokado ok. 10-25 EUR),Brak.,"Brak restauracji w samym sklepie rzemieślniczym, ale mieści się on w Argyroupoli, słynącym z tawern przy wodospadach i źródłach.","Mało (Lokalny lunch) - Weź kilka drobnych przekąsek na drogę w aucie i wodę. Główny, pyszny posiłek zjecie na miejscu w tawernie.","Łatwe - Sklepik i strefa testowania kosmetyków z awokado. Szybka wizyta, miła, naturalna atmosfera.",Niski - Dzieci: Szybka i przyjemna wizyta sensoryczna (testowanie miękkich kremów z awokado) nie wymaga cierpliwości od dzieci z ADHD. Rodzice: Brak kosztów (0 EUR) i położenie w uroczej wiosce Argyroupoli dają elastyczność i pełen luz logistyczny.,"Szybka, bezstresowa wizyta w pachnącym awokado sklepiku. Pozwólcie dzieciom przetestować na dłoni naturalne kremy i poczuć ich konsystencję (świetna zabawa sensoryczno-dotykowa) lub napijcie się świeżej wody w cieniu.","Cień (Wewnątrz). Sklep i warsztat rzemieślniczy mieszczą się w chłodnych, zacienionych wnętrzach budynku.","Argyroupoli Waterfalls (Miejsce 6), Ancient Lappa (Miejsce 8) - sklep mieści się w tej samej miejscowości Argyroupoli, tuż obok wodospadów.","1. Dotknij liścia drzewa awokado i sprawdź, czy jest miękki czy szorstki. 2. Wypróbuj naturalny krem z awokado na swojej dłoni – sprawdź, czy Twoja skóra stała się supermiękka. 3. Policz, ile różnych kosmetyków w sklepie ma na opakowaniu rysunek zielonego awokado."
32,Ilys Ceramics,Ilys Ceramics,"Kameralny, tradycyjny warsztat i galeria ceramiki artystycznej w wiosce Margarites, gdzie można podziwiać rzemieślników przy pracy na kole garncarskim.","35.4988, 23.9055",shop,1 godz. 20 min,9:00 - 20:00,poranek (zwiedzanie Margarites bez tłumów),30 - 45 min,0 EUR wstęp wolny (ręcznie ceramika kreteńska ok. 15-30 EUR),Brak.,"Brak restauracji w samej pracowni ceramicznej, ale warsztat leży w sercu wioski garncarskiej Margarites, gdzie działa m.in. świetna tradycyjna tawerna Mantalos.","Mało (Lokalny lunch) - Weź kilka drobnych przekąsek na drogę w aucie i wodę. Główny, pyszny posiłek zjecie na miejscu w tawernie.",Łatwe - Pracownia ceramiczna – oglądanie procesu tworzenia naczyń jest hipnotyzujące i bardzo ciekawe wizualnie (efekt 'stymowania' wzrokowego dla AuDHD).,Niski - Dzieci: Hipnotyzujący pokaz toczenia gliny na kole garncarskim przykuwa uwagę na długo i wycisza zmysły dzieci AuDHD. Rodzice: Brak opłat za wstęp (0 EUR) i przyjazny dla dzieci warsztat w spokojnej wiosce Margarites dają pełną swobodę bez pośpiechu.,"Oglądanie procesu toczenia gliny na kole garncarskim działa hipnotyzująco i niezwykle uspokajająco na dzieci AuDHD. Kupcie dziecku małą, tanią glinianą figurkę (gwizdek lub dzwoneczek) – to świetna zabawka sensoryczna na resztę dnia.",Cień (Wewnątrz). Warsztat ceramiczny i galeria znajdują się wewnątrz klimatyzowanego/zacienionego budynku.,Anoskeli Winery (Miejsce 39) lub Kisamos (Miejsce 17) - warsztat ceramiczny leży na trasie na zachód wyspy.,"1. Zobacz, jak garncarz toczy glinę na kole i spróbuj opisać, jak glina zmienia swój kształt. 2. Dotknij wilgotnej gliny i spróbuj ulepić z niej małą kuleczkę. 3. Znajdź w sklepie naczynie z motywem ośmiornicy lub rybki i policz jego ramiona/płetwy."
33,Archontakis Coffee Shop,Archontakis Coffee Shop,"Historyczny sklep i klimatyczna kawiarnia w centrum Chanii, kusząca intensywnym aromatem świeżo palonej kawy i dużymi workami pełnymi ziaren z całego świata.","35.5152, 24.0223",shop,25 min,8:00 - 21:00,rano lub popołudnie,30 - 60 min,"0 EUR wstęp (kawa, chłodne napoje i greckie ciastka ok. 10-15 EUR)",Brak.,"To klimatyczna kawiarnia serwująca kawę, napoje i drobne słodkości, zlokalizowana w centrum Chanii, otoczona setkami lokali gastronomicznych.",Bardzo mało / Nic (Bezstresowo) - Weź tylko butelkę wody dla dzieci na sam spacer. Wszystko kupicie na miejscu w rozsądnych cenach.,"Łatwe - Tradycyjna, przyjazna kawiarnia. Szybka wizyta na kawę/sok, swobodna atmosfera.","Niski - Dojazd (25 min). Dzieci: Szybka wizyta w kawiarni, słodki sok i swobodna atmosfera nie obciążają uwagi ruchliwego dziecka. Rodzice: Możliwość wypicia kawy w urokliwym miejscu bez presji finansowej i z łatwym wyjściem w razie dysregulacji dzieci.","Tradycyjna, rodzinna kawiarnia. Swobodna atmosfera sprawia, że marudzenie dzieci nie budzi stresu. Zamówcie chłodny, naturalny sok pomarańczowy, odpocznijcie przy stoliku w cieniu i zaplanujcie kolejny, spokojny krok.",Cień (Wewnątrz) / Półcień. Stoliki wewnątrz kawiarni lub na zacienionym markizami tarasie.,"Muzeum Archeologiczne w ... (Miejsce 4), Rejs łodzią półpodwodną (Miejsce 27), Plaża miejska Nea Chora (Miejsce 44) - kawiarnia i zakupy w Chanii świetnie łączą się ze zwiedzaniem starego miasta.","1. Powąchaj ziarna świeżo palonej kawy i opisz, czy ten zapach jest intensywny. 2. Policz, ile dużych worków z kawą stoi na podłodze sklepu. 3. Wybierz pyszne, słodkie ciastko i spróbuj zjeść je bez używania rąk (śmieszne wyzwanie!)."
34,Ledergasse Chania,Ledergasse Chania,"Słynna, wąska uliczka handlowa („Skórzana”) w Chanii, wypełniona rzemieślniczymi wyrobami ze skóry, od tradycyjnych sandałów po torby, tętniąca lokalnym życiem.","35.5158, 24.0185",shop,25 min,9:00 - 21:00 (w sezonie),przedpołudnie lub wieczór,30 - 60 min,0 EUR wstęp wolny (pamiątki/wyroby skórzane ok. 15-30 EUR),Brak.,"Słynna ulica handlowa (Skórzana) w Chanii, otoczona niezliczonymi tawernami i restauracjami Starego Miasta (np. Tamam, Chrisostomos).",Bardzo mało / Nic (Bezstresowo) - Weź tylko butelkę wody dla dzieci na sam spacer. Wszystko kupicie na miejscu w rozsądnych cenach.,"Średnie - Zatłoczona ulica handlowa w Chanii. Duża liczba ludzi, hałas i bodźce wzrokowe mogą szybko zmęczyć dziecko AuDHD. Wskazówki: Zaplanuj spacer w godzinach porannych, rób przerwy w bocznych, spokojnych alejkach, użyj słuchawek wygłuszających.","Wysoki - Dzieci: Krótki dojazd (25 min), ale wąska, zatłoczona ulica handlowa z ogromną ilością zapachów skór, hałasem rozmów i bodźców wzrokowych to przepis na szybkie przemęczenie hałasem i nadmiarem wrażeń dziecka AuDHD. Rodzice: Stres związany z ciągłym pilnowaniem dzieci w tłumie, by nie zgubiły się ani niczego nie uszkodziły w sklepach.","Wąska i hałaśliwa ulica handlowa może wywołać nagły kryzys sensoryczny z powodu tłumu i zapachów. Zaplanujcie spacer wyłącznie w godzinach porannych, róbcie częste przerwy w bocznych, cichych alejkach i załóżcie dziecku AuDHD słuchawki wygłuszające.","Półcień / Pełne słońce. Wąskie, klimatyczne uliczki starej Chanii rzucają dużo cienia, jednak w południe słońce dociera do dna ulicy.","Muzeum Archeologiczne w ... (Miejsce 4), Rejs łodzią półpodwodną (Miejsce 27), Plaża miejska Nea Chora (Miejsce 44) - zakupy w Chanii najlepiej połączyć ze spacerem po starym porcie i wizytą w klimatyzowanym muzeum.","1. Dotknij różnych wyrobów ze skóry (np. sandałów, torebek) i poczuj ich unikalny, intensywny zapach. 2. Policz, ile sklepów z butami mijacie na tej wąskiej uliczce. 3. Znajdź skórzany breloczek w kształcie zwierzątka i nazwij to zwierzę."
35,Apopsi,Apopsi,"Uroczy, lokalny sklepik z pamiątkami i rzemiosłem artystycznym w historycznym centrum Chanii, oferujący unikalne wyroby kreteńskie zamiast masowej produkcji.","35.5162, 24.0189",shop,25 min,9:00 - 22:00 (w sezonie),popołudniowy lub wieczorny spacer po Chanii,15 - 30 min,0 EUR wstęp wolny (pamiątki/rękodzieło ok. 10-20 EUR),Brak.,Sklep z pamiątkami w Chanii – wokół pełna infrastruktura gastronomiczna i restauracje Starego Miasta.,Bardzo mało / Nic (Bezstresowo) - Weź tylko butelkę wody dla dzieci na sam spacer. Wszystko kupicie na miejscu w rozsądnych cenach.,"Łatwe - Mały, spokojny sklepik rzemieślniczy. Krótka wizyta.","Niski - Krótki dojazd (25 min). Szybka, bezstresowa wizyta w małym sklepie rzemieślniczym nie obciąża dzieci, a rodzicom pozwala na spokojne zakupy bez presji czasu i kosztów.","Spokojny, mały sklepik rzemieślniczy. Krótki czas pobytu eliminuje ryzyko znudzenia. Niech dzieci wybiorą jedną małą pamiątkę, co skupi ich uwagę i da poczucie sprawczości.",Cień (Wewnątrz). Sklep z pamiątkami w klimatyzowanym wnętrzu.,"Muzeum Archeologiczne w ... (Miejsce 4), Rejs łodzią półpodwodną (Miejsce 27), Plaża miejska Nea Chora (Miejsce 44) - zakupy w Chanii najlepiej połączyć ze spacerem po starym porcie.","1. Odszukaj najdziwniejszą rzeźbę lub obraz w sklepie z pamiątkami. 2. Znajdź magnes na lodówkę z rysunkiem osiołka lub Minotaura. 3. Policz, ile kolorów ma najbarwniejsza ceramika na wystawie."
36,Memorabilia,Memorabilia,"Tradycyjny sklepik z pamiątkami w urokliwych zaułkach Chanii, oferujący rzemieślnicze drobiazgi, ceramikę, magnesy i pocztówki inspirowane Kretą.","35.5161, 24.0192",shop,25 min,9:00 - 22:00 (w sezonie),popołudniowy lub wieczorny spacer po Chanii,15 - 30 min,0 EUR wstęp wolny (pamiątki ok. 10-20 EUR),Brak.,"Sklep z pamiątkami w Chanii – w bliskim sąsiedztwie kawiarni, barów oraz restauracji Starego Portu.",Bardzo mało / Nic (Bezstresowo) - Weź tylko butelkę wody dla dzieci na sam spacer. Wszystko kupicie na miejscu w rozsądnych cenach.,"Łatwe - Mały sklepik z pamiątkami, szybkie zakupy.",Niski - Krótka wizyta w małym sklepie z pamiątkami blisko portu. Brak kolejek i łatwość ewakuacji na otwartą przestręń nabrzeża dają rodzicom pełne bezpieczeństwo psychiczne.,"Szybka wizyta po pamiątki. Pozwólcie dzieciom delikatnie pooglądać drewniane lub tekstylne wyroby, co da im bezpieczny bodziec dotykowy. W razie zmęczenia wyjdźcie na otwarty plac przed sklepem.",Cień (Wewnątrz). Sklepik z pamiątkami w zacienionym wnętrzu kamienicy.,"Muzeum Archeologiczne w ... (Miejsce 4), Rejs łodzią półpodwodną (Miejsce 27), Plaża miejska Nea Chora (Miejsce 44) - pamiątki z Chanii kupisz przy okazji spaceru po starym mieście.","1. Znajdź pamiątkę, która najbardziej kojarzy Ci się z morzem (np. z muszelkami lub statkiem). 2. Policz małe figurki starożytnych greckich bogów stojące na półkach. 3. Wybierz pocztówkę z najpiękniejszym widokiem i wyobraź sobie, do kogo z rodziny ją wyślesz."
37,Chalidon 28,Chalidon 28,"Lokalny punkt handlowy przy jednej z głównych ulic Starego Miasta w Chanii, oferujący kreteńskie pamiątki, tradycyjne instrumenty muzyczne i tradycyjne wyroby.","35.5165, 24.0182",shop,25 min,9:00 - 22:00 (w sezonie),popołudniowy lub wieczorny spacer po Chanii,15 - 30 min,0 EUR wstęp wolny (lokalne produkty/oliwa ok. 15-25 EUR),Brak.,"Adres handlowy w centrum Chanii, otoczony restauracjami, kawiarniami i punktami szybkiej gastronomii (street food).",Bardzo mało / Nic (Bezstresowo) - Weź tylko butelkę wody dla dzieci na sam spacer. Wszystko kupicie na miejscu w rozsądnych cenach.,"Łatwe - Kolejny lokalny sklepik, brak wymagań długiego czekania.","Niski - Położenie w centrum Chanii. Krótka i dynamiczna wizyta w sklepie nie wymaga cierpliwości od dzieci, a wokół jest pełno lodziarni i kawiarni na szybką nagrodę.","Krótkie zakupy w centrum Chanii. Trzymajcie pod ręką wodę i chłodną przekąskę. W razie nagłego kryzysu zrezygnujcie ze sklepów i przejdźcie do Starego Portu, gdzie otwarta przestrzeń i widok na morze ułatwiają regulację.",Cień (Wewnątrz). Przestrzeń sklepowa wewnątrz budynku.,"Muzeum Archeologiczne w ... (Miejsce 4), Rejs łodzią półpodwodną (Miejsce 27), Plaża miejska Nea Chora (Miejsce 44) - zakupy na głównej ulicy handlowej Chanii.","1. Znajdź na wystawie sklepu tradycyjne, greckie instrumenty muzyczne (np. buzuki). 2. Policz, ile kroków dzieli wejście do tego sklepu od głównej ulicy. 3. Odszukaj wiszące niebieskie oko (talizman 'oko proroka') i dowiedz się, przed czym ma chronić."
