numer_miejsca,nazwa,nazwa_angielska,adres,typ,wspolrzedne,czas_dojazdu,orientacyjny_czas,koszt,godziny_otwarcia,konieczna_akcja,trudnosc_adhd,ochrona_slonce,potencjal_meltdownu,strategie_meltdown,opis,zadania_dla_dzieci,odwiedzone
29,mill.o.petres,mill.o.petres,"Stylos, Apokoronas 730 03",Activity,"35.44192, 24.14815",35 min,1.5 - 2 godziny,0 EUR wstęp wolny (warsztaty kulinarne/mydlarskie ok. 15-25 EUR za osobę/zestaw),10:00 - 18:00,Wymagana wcześniejsza rezerwacja w przypadku chęci udziału w warsztatach wyrobu mydła lub warsztatach kulinarnych.,"Średnie - Warsztaty wymagają skupienia i precyzji, co może frustrować młodsze dzieci z ADHD. Jednak praca z zapachami i masami kosmetycznymi to świetne doświadczenie sensoryczne. Wskazówki: Pomagaj młodszemu dziecku przy trudniejszych etapach, nie naciskaj na idealne wykonanie.","Cień (Wewnątrz) / Półcień. Warsztaty odbywają się w zabytkowym, chłodnym budynku lub na zacienionym, tradycyjnym patio.","Średni - Dzieci: Dojazd (40 min) jest łatwy. Sensoryka warsztatów mydlarskich (zapachy, konsystencja) jest bardzo ciekawa, ale wymaga precyzji i cierpliwości, co może frustrować młodsze dzieci z ADHD. Rodzice: Brak opłaty za wstęp (0 EUR), kameralna atmosfera bez tłumów i przyjaźni gospodarze dają duże poczucie komfortu psychicznego.","Tradycyjne warsztaty rzemieślnicze mogą wymagać dłuższego skupienia i precyzji. Pozwólcie dzieciom badać tekstury i zapachy bazy mydlanej, olejków i ziół we własnym tempie, unikając sztywnych poleceń i pośpiechu.","Zabytkowa, rzemieślnicza oliwiarnia w wiosce Kalyves, oferująca edukacyjne zwiedzanie tradycyjnego młyna oliwnego z 1962 r. oraz kreatywne warsztaty produkcji naturalnego mydła.","1. Powąchaj różne olejki eteryczne (np. lawendowy, rozmarynowy) i wybierz swój ulubiony zapach. 2. Dotknij bazy do produkcji mydła – opisz rodzicom, czy jest gładka, twarda czy śliska. 3. Stwórz swoje własne, unikalne mydełko z płatkami kwiatów.",0
30,Maravel Garden,Maravel Garden,Spili 740 53,Shop,"35.22683, 24.50292",1 godz. 30 min,1 - 1.5 godziny,0 EUR wstęp wolny (opcjonalne zakupy ziół/herbat ok. 10-20 EUR),9:00 - 18:00,Brak (wcześniejsze zgłoszenie konieczne tylko w przypadku chęci wzięcia udziału w zorganizowanych warsztatach).,Łatwe - Ogród z ziołami i labiryntem roślin. Zapachy i tekstury roślin działają kojąco i regulująco (świetna integracja sensoryczna).,"Półcień / Cień. Ogrody ziołowe mają zacienione ścieżki i pergole, a budynek sklepu jest w pełni zacieniony.","Niski - Dzieci: Dojazd (1.5 h) jest długi, ale sensoryczny labirynt ziół, zapachów i tekstur działa niezwykle regulująco i uspokajająco na dzieci AuDHD. Rodzice: Bezpłatny wstęp (0 EUR) i głęboki spokój naturalnego ogrodu pomagają wyciszyć przemęczenie hałasem i nadmiarem wrażeń układ nerwowy rodziców.","Doskonałe miejsce na wyciszenie zmysłów. Zapachy ziół i dotykanie różnorodnych liści roślin działają niesamowicie regulująco na układ nerwowy. Przejście przez roślinny labirynt to świetna, angażująca i spokojna zabawa ruchowa dla dzieci.","Prywatny ogród sensoryczny z ziołami i labiryntem roślin w pobliżu Spili, doskonałe miejsce na integrację sensoryczną dzieci poprzez wąchanie i dotykanie ziół.","1. Przejdź się po ogrodzie ziołowym i znajdź roślinę, która pachnie jak pizza (oregano!). 2. Policz kolory kwiatów rosnących w ogrodzie – spróbuj znaleźć chociaż jeden fioletowy i jeden żółty. 3. Powąchaj naturalne mydełka w sklepie i spróbuj zgadnąć, z jakich roślin powstały.",0
31,Lappa Avocado,Lappa Avocado,Argyroupoli 740 07,Shop,"35.28723, 24.33385",1 godz. 10 min,30 min,0 EUR wstęp wolny (opcjonalne kosmetyki z awokado ok. 10-25 EUR),9:00 - 20:00 (w sezonie),Brak.,"Łatwe - Sklepik i strefa testowania kosmetyków z awokado. Szybka wizyta, miła, naturalna atmosfera.","Cień (Wewnątrz). Sklep i warsztat rzemieślniczy mieszczą się w chłodnych, zacienionych wnętrzach budynku.",Niski - Dzieci: Szybka i przyjemna wizyta sensoryczna (testowanie miękkich kremów z awokado) nie wymaga cierpliwości od dzieci z ADHD. Rodzice: Brak kosztów (0 EUR) i położenie w uroczej wiosce Argyroupoli dają elastyczność i pełen luz logistyczny.,"Szybka, bezstresowa wizyta w pachnącym awokado sklepiku. Pozwólcie dzieciom przetestować na dłoni naturalne kremy i poczuć ich konsystencję (świetna zabawa sensoryczno-dotykowa) lub napijcie się świeżej wody w cieniu.","Uroczy sklepik rzemieślniczy w Argyroupoli, specjalizujący się w produkcji i sprzedaży naturalnych, ekologicznych kosmetyków na bazie lokalnie uprawianego awokado.","1. Dotknij liścia drzewa awokado i sprawdź, czy jest miękki czy szorstki. 2. Wypróbuj naturalny krem z awokado na swojej dłoni – sprawdź, czy Twoja skóra stała się supermiękka. 3. Policz, ile różnych kosmetyków w sklepie ma na opakowaniu rysunek zielonego awokado.",0
32,Ilys Ceramics,Ilys Ceramics,"ul. Epimenidou 15, Chania 731 32",Shop,"35.51680, 24.01820",1 godz. 20 min,30 - 45 min,0 EUR wstęp wolny (ręcznie ceramika kreteńska ok. 15-30 EUR),9:00 - 20:00,Brak.,Łatwe - Pracownia ceramiczna – oglądanie procesu tworzenia naczyń jest hipnotyzujące i bardzo ciekawe wizualnie (efekt 'stymowania' wzrokowego dla AuDHD).,Cień (Wewnątrz). Warsztat ceramiczny i galeria znajdują się wewnątrz klimatyzowanego/zacienionego budynku.,Niski - Dzieci: Hipnotyzujący pokaz toczenia gliny na kole garncarskim przykuwa uwagę na długo i wycisza zmysły dzieci AuDHD. Rodzice: Brak opłat za wstęp (0 EUR) i przyjazny dla dzieci warsztat w spokojnej wiosce Margarites dają pełną swobodę bez pośpiechu.,"Oglądanie procesu toczenia gliny na kole garncarskim działa hipnotyzująco i niezwykle uspokajająco na dzieci AuDHD. Kupcie dziecku małą, tanią glinianą figurkę (gwizdek lub dzwoneczek) – to świetna zabawka sensoryczna na resztę dnia.","Kameralny, tradycyjny warsztat i galeria ceramiki artystycznej w wiosce Margarites, gdzie można podziwiać rzemieślników przy pracy na kole garncarskim.","1. Zobacz, jak garncarz toczy glinę na kole i spróbuj opisać, jak glina zmienia swój kształt. 2. Dotknij wilgotnej gliny i spróbuj ulepić z niej małą kuleczkę. 3. Znajdź w sklepie naczynie z motywem ośmiornicy lub rybki i policz jego ramiona/płetwy.",0
33,Archontakis Coffee Shop,Archontakis Coffee Shop,"ul. Mousouron 24, Chania 731 32",Shop,"35.51475, 24.01755",25 min,30 - 60 min,"0 EUR wstęp (kawa, chłodne napoje i greckie ciastka ok. 10-15 EUR)",8:00 - 21:00,Brak.,"Łatwe - Tradycyjna, przyjazna kawiarnia. Szybka wizyta na kawę/sok, swobodna atmosfera.",Cień (Wewnątrz) / Półcień. Stoliki wewnątrz kawiarni lub na zacienionym markizami tarasie.,"Niski - Dojazd (25 min). Dzieci: Szybka wizyta w kawiarni, słodki sok i swobodna atmosfera nie obciążają uwagi ruchliwego dziecka. Rodzice: Możliwość wypicia kawy w urokliwym miejscu bez presji finansowej i z łatwym wyjściem w razie dysregulacji dzieci.","Tradycyjna, rodzinna kawiarnia. Swobodna atmosfera sprawia, że marudzenie dzieci nie budzi stresu. Zamówcie chłodny, naturalny sok pomarańczowy, odpocznijcie przy stoliku w cieniu i zaplanujcie kolejny, spokojny krok.","Historyczny sklep i klimatyczna kawiarnia w centrum Chanii, kusząca intensywnym aromatem świeżo palonej kawy i dużymi workami pełnymi ziaren z całego świata.","1. Powąchaj ziarna świeżo palonej kawy i opisz, czy ten zapach jest intensywny. 2. Policz, ile dużych worków z kawą stoi na podłodze sklepu. 3. Wybierz pyszne, słodkie ciastko i spróbuj zjeść je bez używania rąk (śmieszne wyzwanie!).",0
34,Ledergasse Chania,Ledergasse Chania,"ul. Skridlof, Chania 731 32",Shop,"35.51505, 24.01830",25 min,30 - 60 min,0 EUR wstęp wolny (pamiątki/wyroby skórzane ok. 15-30 EUR),9:00 - 21:00 (w sezonie),Brak.,"Średnie - Zatłoczona ulica handlowa w Chanii. Duża liczba ludzi, hałas i bodźce wzrokowe mogą szybko zmęczyć dziecko AuDHD. Wskazówki: Zaplanuj spacer w godzinach porannych, rób przerwy w bocznych, spokojnych alejkach, użyj słuchawek wygłuszających.","Półcień / Pełne słońce. Wąskie, klimatyczne uliczki starej Chanii rzucają dużo cienia, jednak w południe słońce dociera do dna ulicy.","Wysoki - Dzieci: Krótki dojazd (25 min), ale wąska, zatłoczona ulica handlowa z ogromną ilością zapachów skór, hałasem rozmów i bodźców wzrokowych to przepis na szybkie przemęczenie hałasem i nadmiarem wrażeń dziecka AuDHD. Rodzice: Stres związany z ciągłym pilnowaniem dzieci w tłumie, by nie zgubiły się ani niczego nie uszkodziły w sklepach.","Wąska i hałaśliwa ulica handlowa może wywołać nagły kryzys sensoryczny z powodu tłumu i zapachów. Zaplanujcie spacer wyłącznie w godzinach porannych, róbcie częste przerwy w bocznych, cichych alejkach i załóżcie dziecku AuDHD słuchawki wygłuszające.","Słynna, wąska uliczka handlowa („Skórzana”) w Chanii, wypełniona rzemieślniczymi wyrobami ze skóry, od tradycyjnych sandałów po torby, tętniąca lokalnym życiem.","1. Dotknij różnych wyrobów ze skóry (np. sandałów, torebek) i poczuj ich unikalny, intensywny zapach. 2. Policz, ile sklepów z butami mijacie na tej wąskiej uliczce. 3. Znajdź skórzany breloczek w kształcie zwierzątka i nazwij to zwierzę.",0
35,Apopsi,Apopsi,"ul. Kondylaki 16, Chania 731 32",Shop,"35.51735, 24.01675",25 min,15 - 30 min,0 EUR wstęp wolny (pamiątki/rękodzieło ok. 10-20 EUR),9:00 - 22:00 (w sezonie),Brak.,"Łatwe - Mały, spokojny sklepik rzemieślniczy. Krótka wizyta.",Cień (Wewnątrz). Sklep z pamiątkami w klimatyzowanym wnętrzu.,"Niski - Krótki dojazd (25 min). Szybka, bezstresowa wizyta w małym sklepie rzemieślniczym nie obciąża dzieci, a rodzicom pozwala na spokojne zakupy bez presji czasu i kosztów.","Spokojny, mały sklepik rzemieślniczy. Krótki czas pobytu eliminuje ryzyko znudzenia. Niech dzieci wybiorą jedną małą pamiątkę, co skupi ich uwagę i da poczucie sprawczości.","Uroczy, lokalny sklepik z pamiątkami i rzemiosłem artystycznym w historycznym centrum Chanii, oferujący unikalne wyroby kreteńskie zamiast masowej produkcji.","1. Odszukaj najdziwniejszą rzeźbę lub obraz w sklepie z pamiątkami. 2. Znajdź magnes na lodówkę z rysunkiem osiołka lub Minotaura. 3. Policz, ile kolorów ma najbarwniejsza ceramika na wystawie.",0
36,Memorabilia,Memorabilia,"ul. Chalidon, Chania 731 32",Shop,"35.51650, 24.01780",25 min,15 - 30 min,0 EUR wstęp wolny (pamiątki ok. 10-20 EUR),9:00 - 22:00 (w sezonie),Brak.,"Łatwe - Mały sklepik z pamiątkami, szybkie zakupy.",Cień (Wewnątrz). Sklepik z pamiątkami w zacienionym wnętrzu kamienicy.,Niski - Krótka wizyta w małym sklepie z pamiątkami blisko portu. Brak kolejek i łatwość ewakuacji na otwartą przestręń nabrzeża dają rodzicom pełne bezpieczeństwo psychiczne.,"Szybka wizyta po pamiątki. Pozwólcie dzieciom delikatnie pooglądać drewniane lub tekstylne wyroby, co da im bezpieczny bodziec dotykowy. W razie zmęczenia wyjdźcie na otwarty plac przed sklepem.","Tradycyjny sklepik z pamiątkami w urokliwych zaułkach Chanii, oferujący rzemieślnicze drobiazgi, ceramikę, magnesy i pocztówki inspirowane Kretą.","1. Znajdź pamiątkę, która najbardziej kojarzy Ci się z morzem (np. z muszelkami lub statkiem). 2. Policz małe figurki starożytnych greckich bogów stojące na półkach. 3. Wybierz pocztówkę z najpiękniejszym widokiem i wyobraź sobie, do kogo z rodziny ją wyślesz.",0
37,Chalidon 28,Chalidon 28,"ul. Chalidon 28, Chania 731 32",Shop,"35.51598, 24.01712",25 min,15 - 30 min,0 EUR wstęp wolny (lokalne produkty/oliwa ok. 15-25 EUR),9:00 - 22:00 (w sezonie),Brak.,"Łatwe - Kolejny lokalny sklepik, brak wymagań długiego czekania.",Cień (Wewnątrz). Przestrzeń sklepowa wewnątrz budynku.,"Niski - Położenie w centrum Chanii. Krótka i dynamiczna wizyta w sklepie nie wymaga cierpliwości od dzieci, a wokół jest pełno lodziarni i kawiarni na szybką nagrodę.","Krótkie zakupy w centrum Chanii. Trzymajcie pod ręką wodę i chłodną przekąskę. W razie nagłego kryzysu zrezygnujcie ze sklepów i przejdźcie do Starego Portu, gdzie otwarta przestrzeń i widok na morze ułatwiają regulację.","Lokalny punkt handlowy przy jednej z głównych ulic Starego Miasta w Chanii, oferujący kreteńskie pamiątki, tradycyjne instrumenty muzyczne i tradycyjne wyroby.","1. Znajdź na wystawie sklepu tradycyjne, greckie instrumenty muzyczne (np. buzuki). 2. Policz, ile kroków dzieli wejście do tego sklepu od głównej ulicy. 3. Odszukaj wiszące niebieskie oko (talizman 'oko proroka') i dowiedz się, przed czym ma chronić.",0
38,Flakatoras Ceramics,Flakatoras Ceramics,"Gavalochori, Apokoronas 730 07",Shop,"35.45780, 24.20450",25 min,15 - 30 min,0 EUR wstęp wolny (ceramika tradycyjna ok. 15-30 EUR),9:00 - 22:00 (w sezonie),Brak.,"Łatwe - Sklep z ceramiką artystyczną, ciekawe kolory i faktury naczyń.",Cień (Wewnątrz). Warsztat i galeria ceramiki w chłodnym budynku.,"Niski - Przyjazny sklep z ceramiką artystyczną w Chanii. Ciekawe dla dzieci kolory i tekstury naczyń, krótki czas pobytu i łatwa ewakuacja eliminują ryzyko meltdownu.","Mały sklepik rzemieślniczy. Oglądanie kolorowych, unikalnych wyrobów z ceramiki to miły bodziec wzrokowy. Krótki czas pobytu bez kolejek chroni przed dysregulacją.","Autorska galeria i pracownia ceramiki w Chanii, prezentująca kolorowe, ręcznie malowane naczynia i rzeźby użytkowe inspirowane kreteńską florą i fauną.",1. Znajdź talerz pomalowany w tradycyjne kreteńskie wzory roślinne. 2. Policz wszystkie gliniane dzwoneczki wiszące na sznurkach przy wejściu. 3. Dotknij faktury nieszkliwionego naczynia i opisz różnicę między szorstkim a gładkim.,0
39,Dourakis Winery,Dourakis Winery,"Alikampos, Apokoronas 730 07",Shop,"35.34442, 24.22558",55 min,1.5 - 2 godziny,"0 EUR wstęp (pakiet degustacji wina z przekąskami dla dorosłych ok. 12-18 EUR/os, dorośli razem: 24-36 EUR)",10:00 - 18:00,Rekomendowana wcześniejsza rezerwacja online na degustację wina w ogrodzie.,"Średnie - Oprowadzanie po piwnicach i degustacja. Czas siedzenia przy stole podczas degustacji dorosłych może być trudny dla dzieci. Wskazówki: Wybierz stolik w ogrodzie, przynieś zabawki sensoryczne, pozwól dzieciom biegać po trawniku między stolikami.","Półcień / Cień. Kamienny dziedziniec winnicy jest zacieniony pergolami i drzewami, a piwnice leżakowe są całkowicie chłodne i ciemne.","Średni - Dzieci: Dojazd (55 min) jest łatwy. Piękny, butikowy ogród pozwala dzieciom na swobodny ruch, choć czas degustacji dorosłych przy stoliku wymaga przygotowania zabawek/kolorowanek. Rodzice: Bezpłatny wstęp (0 EUR) i niezwykle spokojne otoczenie pozwalają rodzicom na sensoryczne wyciszenie przy kieliszku wina.","Winnica oferuje ładny ogród i piwniczki, ale czas degustacji wymaga cierpliwości od dzieci. Umożliwcie dzieciom spacer po trawie i ogrodzie winnicy, dajcie im kolorowanki przy stoliku lub połączcie wizytę z obiadem w pobliskim, luźnym Maza Cafenion.","Butikowa, rodzinna winnica w Alikampos, słynąca z darmowego oprowadzania po kamiennych piwnicach i degustacji wyśmienitych win w malowniczym, zielonym ogrodzie.","1. Zejdź do chłodnej, kamiennej piwnicy i powąchaj zapach dębowych beczek, w których leżakuje wino. 2. Znajdź w ogrodzie winnicy ukrytą rzeźbę lub ładny, stary dzban. 3. Policz, ile różnych kolorów butelek z winem widzisz na wystawie.",0
40,Anoskeli Winery,Anoskeli Winery,"Anoskeli, Platanias 730 02",Shop,"35.45180, 23.77120",50 min,1.5 - 2 godziny,0 EUR wstęp (degustacja oliwy i wina z przekąskami ok. 10-15 EUR/os dla dorosłych),10:00 - 18:00,Rekomendowana wcześniejsza rezerwacja online na degustację wina/oliwy i zwiedzanie młyna.,Średnie - Wizyta w oliwiarni/degustacja. Podobnie jak w winnicach – wymaga cierpliwości podczas opowiadań. Wskazówki: Wykorzystaj rozległe ogrody oliwne na spacer i rozładowanie energii.,Cień (Wewnątrz) / Półcień. Klimatyzowana sala degustacyjna oraz zacieniony taras z widokiem na gaje oliwne.,"Średni - Dzieci: Dojazd (50 min). Podobnie jak w Dourakis – ogrody dają przestrzeń do oddechu, ale sama prezentacja i degustacja wymagają cierpliwości. Rodzice: Spokojna, rodzinna atmosfera oliwiarni bez tłumów pozwala na relaks bez lęku o ocenę zachowania dzieci.",Podobnie jak w innych winnicach – wizyta w oliwiarni wymaga cierpliwości rodziców przy opowieściach. Pozwólcie dzieciom badać sensorycznie chropowate pnie oliwek na zewnątrz i spróbować delikatnego chleba maczanego w łagodnej oliwie.,"Rodzinna posiadłość w Kolymvari łącząca świat wina i oliwy, oferująca zwiedzanie nowoczesnego młyna oraz degustację win Ano Playa i ekologicznej oliwy Tsounati.","1. Zobacz wielkie prasy do wyciskania oliwek i spróbuj zgadnąć, ile oliwek potrzeba na jedną butelkę oliwy. 2. Spróbuj zjeść chrupiącą grzankę zamoczoną w świeżej oliwie z oliwek. 3. Policz, ile rzędów drzew oliwnych rośnie wokół budynku.",0
41,Sklepik w Monastyrze Agia Triada,Holy Trinity Tzagaroli Monastery Shop,"Akrotiri, Chania 731 00",Shop,"35.56085, 24.13530",15 min,1 - 1.5 godziny,4 EUR wstęp do klasztoru (oliwa/wino tłoczone przez mnichów ok. 10-20 EUR),od wschodu do zachodu słońca,Brak.,"Średnie - Sklep klasztorny z lokalnymi produktami. Szybka wizyta, ładne otoczenie.","Cień (Wewnątrz). Sklep klasztorny mieści się w grubych, chłodnych murach monastyru.","Niski - Bardzo blisko bazy (15 min). Szybkie zakupy w pięknym klasztornym sklepie z produktami od mnichów nie wymagają od dzieci wysiłku, a piękne otoczenie sprzyja wyciszeniu.","Szybka, 15-minutowa wizyta handlowa. Kupcie ekologiczny miód lub oliwę i pozwólcie dzieciom nieść małe, bezpieczne pakunki, co da im poczucie ważnego zadania i rozładuje energię.","Klasztorny sklepik w monastyrze Agia Triada, w którym można zakupić ekologiczne produkty wytwarzane przez mnichów, w tym oliwę extra virgin, wino, ocet i miód tymiankowy.","1. Odszukaj na półkach butelkę oliwy z oliwek z etykietą klasztorną i znajdź na niej rysunek klasztoru. 2. Powąchaj naturalny miód tymiankowy produkowany przez mnichów – opisz jego zapach. 3. Policz, ile dużych glinianych amfor (pitosów) stoi przy wejściu do sklepu.",0
42,Stemfilo Winery Paterakis,Stemfilo Winery Paterakis,"Voukolies, Platanias 730 02",Shop,"35.46780, 23.83290",45 min,1.5 - 2 godziny,0 EUR wstęp (degustacja win domowych i zakupy ok. 10-20 EUR),11:00 - 19:00,Rekomendowana wcześniejsza rezerwacja online na degustację wina na tarasie widokowym.,"Średnie - Mała rodzinna winiarnia. Mniej formalna niż duże obiekty, co ułatwia swobodne zachowanie dzieci.",Cień (Wewnątrz) / Półcień. Kameralna sala degustacyjna i zacienione obejście.,"Średni - Dzieci: Dojazd (45 min) jest znośny. Kameralna, mała i nieformalna atmosfera rodzinnej winiarni ułatwia swobodne zachowanie dzieci na widokowym tarasie. Rodzice: Niski stres finansowy i bezpośredni, bardzo życzliwy kontakt z gospodarzami redukują niepokój społeczny.","Mała, rodzinna winiarnia z luźną atmosferą. Brak sztywnej etykiety sprawia, że rodzice czują mniejszy stres społeczny. Dzieci mogą bezpiecznie odpoczywać na tarasach widokowych i obserwować góry.","Kameralna, rodzinna winiarnia oferująca bezpretensjonalne degustacje win na tarasie widokowym z pięknym widokiem na zachodzące słońce i gaje oliwne.","1. Wypatruj tradycyjnych urządzeń do destylacji (miedzianych alembików) i zapytaj, jak się nazywają. 2. Policz, ile miedzianych lub drewnianych beczek służy tu za dekorację. 3. Znajdź najmłodszy krzew winny rosnący najbliżej wejścia.",0
43,Manousakis Winery,Manousakis Winery,"Vatolakkos, Platanias 730 05",Shop,"35.46075, 23.94058",45 min,2 - 3 godziny,0 EUR wstęp (degustacja win i posiłek w ogrodzie pod pomarańczami ok. 60-80 EUR dla rodziny 2+2),10:00 - 22:00,"Bardzo rekomendowana wcześniejsza rezerwacja online, szczególnie na wine tasting połączony z kolacją w ogrodzie.","Średnie - Winnica z pięknym ogrodem restauracyjnym. Dzieci mogą spacerować pod drzewami pomarańczowymi, ale czas oczekiwania na dania wymaga organizacji czasu. Wskazówki: Weź ze sobą proste gry planszowe lub karty do stolika.","Półcień. Degustacja i lunch odbywają się na urokliwym patio, pod gęstym cieniem dojrzałych drzew pomarańczowych i oliwnych.","Średni - Dzieci: Dojazd (45 min) jest łatwy. Przepiękny ogród restauracyjny pod drzewami pomarańczowymi pozwala na krótki spacer, choć czas spędzony przy stole podczas kolacji i degustacji wymaga zabrania zabawek wyciszających. Rodzice: Relaksująca kolacja w cieniu drzew i wybitne wino doskonale regenerują zmęczony układ nerwowy rodziców.","Wspaniały ogród restauracyjny z dużą ilością zieleni. Dzieci mogą bezpiecznie spacerować pod drzewami pomarańczowymi w cieniu, badając opadłe liście, podczas gdy rodzice w spokojnej atmosferze degustują wina.","Wyjątkowa winnica rodziny Manousakis w Vatolakkos o toskańskim klimacie, słynąca z produkcji win Nostos, doskonałej restauracji ogrodowej oraz warsztatów artystycznych.","1. Znajdź w pięknym ogrodzie najgrubszy pień drzewa pomarańczowego i spróbuj go zmierzyć rozpiętością swoich ramion. 2. Policz, ile szklanych kieliszków stoi na stole degustacyjnym rodziców. 3. Narysuj na kartce papieru swoją własną, wymarzoną etykietę na butelkę soku winogronowego.",0
44,Plaża Kalathas,Kalathas Beach,"Kalathas, Akrotiri 731 00",Plaża,"35.55395, 24.08695",10 min,2 - 4 godziny,0 EUR wstęp wolny (opcjonalnie zestaw leżaków z parasolem ok. 10-15 EUR),brak ograniczeń,Brak.,"Łatwe - Plaża z bardzo łagodnym zejściem do wody, drobny piasek i spokojne morze. Świetne warunki do bezpiecznej zabawy bez przeciążenia sensorycznego.","Pełne słońce. Szeroka, piaszczysta plaża całkowicie wystawiona na słońce. Dostępne są parasole i leżaki do wynajęcia.","Niski - Dzieci: Bardzo blisko (10 min). Niezwykle łagodne zebranie, miękki piasek i spokojne morze działają kojąco i regulująco na zmysły dzieci. Rodzice: Zerowy koszt wstępu (0 EUR) i brak jazdy samochodem dają 100% relaksu i komfortu psychicznego.","Idealne warunki na bezstresowe plażowanie. Bardzo łagodne, płytkie wejście do wody, drobny piasek i brak fal dają dzieciom poczucie bezpieczeństwa fizycznego i ułatwiają rodzicom czujną, spokojną obserwację bez lęku.","Bezpieczna, piaszczysta plaża na półwyspie Akrotiri z łagodnym zejściem do wody i bardzo spokojnym morzem, idealna dla rodzin z małymi dziećmi.","1. Sprawdź, czy dasz radę dopłynąć (lub przejść z rodzicami przy niskiej wodzie) do małej wysepki naprzeciwko plaży. 2. Zbuduj z mokrego piasku wielki wulkan, a potem wykop kanał, przez który woda z morza dopłynie do krateru. 3. Policz, ile małych krabów lub muszelek uda Ci się znaleźć na brzegu.",0
46,Plaża w Stavros,Stavros Beach,"Stavros, Akrotiri 731 00",Plaża,"35.59125, 24.09555",0 min,2 - 4 godziny,0 EUR wstęp wolny (opcjonalnie komplet leżaków z parasolem ok. 10-15 EUR),brak ograniczeń,Brak.,"Łatwe - Słynna plaża w Stavros. Płytka, przypominająca jezioro zatoka, brak fal, czysty piasek. Idealna, bezpieczna i uspokajająca przestrzeń dla dzieci neuroatypowych.",Pełne słońce. Plaża w zatoce otoczona skałami – brak naturalnego cienia na piasku. Warto wynająć leżak z parasolem lub schronić się w tawernie.,"Niski - Dzieci: Lokalna baza (0 min dojazdu). Płytka, bezfalowa, przypominająca jezioro zatoka to najbezpieczniejsze sensorycznie miejsce na Krecie do nieskrępowanej zabawy w wodzie. Rodzice: Całkowity brak zmęczenia jazdą, zero kosztów (0 EUR) i możliwość natychmiastowego powrotu do domu w razie jakichkolwiek oznak zmęczenia dają maksymalny komfort.","Kultowa plaża tuż przy Waszym domu w Stavros. Płytka, spokojna jak jezioro zatoka otoczona górą jest całkowicie bezpieczna. W razie nagłego meltdownu u dziecka lub rodzica, możecie spakować się i wrócić do domu pieszo lub autem w 2 minuty.","Słynna zatoka o białym piasku u stóp góry Vardies, znana z filmu „Grek Zorba” – płytka, osłonięta od fal i wiatru, przypominająca bezpieczne jezioro.","1. Spójrz na wielką, pionową górę wznoszącą się nad plażą i wyobraź sobie, że to śpiący olbrzym (znajdź jego nos i brodę!). 2. Ponieważ woda w tej zatoce jest super spokojna i płytka, spróbuj położyć się na wodzie na plecach i posłuchaj podwodnej ciszy. 3. Ułóż z suchych patyków swoje imię na piasku.",0
47,Plaża Tersanas,Tersanas Beach,"Tersanas, Akrotiri 731 00",Plaża,"35.56382, 24.08115",5 min,2 - 3 godziny,0 EUR wstęp wolny (opcjonalnie komplet leżaków z parasolem ok. 10-15 EUR),brak ograniczeń,Brak.,"Łatwe - Kameralna, bardzo spokojna zatoka z łagodnym wejściem do wody. Mała skala miejsca sprawia, że jest bezpiecznie i cicho.","Pełne słońce. Kameralna, piaszczysta zatoczka, całkowicie nasłoneczniona. Świetna dla dzieci, ale wymaga parasola.","Niski - Dzieci: Zaledwie 5 minut drogi. Mała, kameralna zatoka o bardzo łagodnym wejściu do wody, pozbawiona silnego wiatru i fal, co ułatwia samoregulację dzieci. Rodzice: Szybki dojazd, zerowe koszty (0 EUR) i pełen spokój małej skali plaży gwarantują bezstresowe popołudnie.","Niezwykle kameralna, schowana w skałach zatoczka ze spokojną wodą. Mała skala miejsca sprawia, że jest ono bardzo przewidywalne i łatwe do kontrolowania dla dziecka AuDHD. Pełna swoboda ruchowa i głęboki cień w tawernie obok.","Kameralna i płytka piaszczysta zatoczka blisko Stavros z łagodnym wejściem do morza i cichą tawerną tuż przy brzegu, oaza spokoju dla rodzin.","1. Ta zatoczka jest bardzo mała i spokojna – spróbuj policzyć, ile kroków ma szerokość całej plaży od skały do skały. 2. Znajdź na brzegu bezpieczne miejsce, gdzie woda jest tak przezroczysta, że widać Twoje stopy na dnie. 3. Zrób z piasku i wody 'błotne babki'.",0
